Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
3.5,35.0,Windows,14.0, LED , No ,2.4,8.0,8.0,16.0,2.0,2666.0,nan,512.0,1.58,1.0,No,,3.0,Li-Po,10.0,No,1920,1080,Intel,6.0,NVIDIA,329.0,240.0,20.0,Yes,1.0,Yes,4.1,Yes,,,Dell
4.8,7.0,Windows,14.0, LED , No ,4.2,8.0,2.0,8.0,1.0,,nan,512.0,1.29,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,319.0,199.0,16.9,nan,,Yes,5.0,nan,,yes,Asus
4.5,33.0,Windows,15.6, LED , No ,1.6,6.0,8.0,,1.0,,SSD,256.0,1.8,1.0,No,52.5,3.0,Li-Ion,,nan,1920,1080,Intel,6.0,Intel Graphics,358.14,243.84,17.7,nan,,Yes,4.2,Yes,1.0,,Lenovo
4.3,88.0,Windows,16.1, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,HDD,1000.0,2.44,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,370.0,262.0,23.0,Yes,2.0,Yes,5.0,nan,,yes,HP
,,Windows,15.6, LED , No ,2.6,12.0,4.0,16.0,1.0,2666.0,nan,1000.0,2.45,1.0,No,90.0,6.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,377.4,252.3,24.5,nan,,Yes,5.1,Yes,1.0,,Lenovo
,,Windows,14.0, LED , No ,2.3,8.0,8.0,,1.0,3200.0,nan,512.0,1.6,1.0,nan,45.0,3.0,Li-Po,,No,1920,1080,AMD,6.0,AMD Graphics,,,,Yes,1.0,Yes,5.0,Yes,1.0,,Lenovo
,,Windows,17.3, LED , No ,2.9,12.0,8.0,32.0,2.0,2666.0,HDD,1000.0,4.42,1.0,No,99.0,6.0,Li-Ion,,No,2560,1440,Intel,6.0,NVIDIA,424.0,332.0,29.9,Yes,2.0,Yes,5.0,Yes,1.0,,Dell
4.1,17.0,Windows,14.0, LED , No ,1.2,4.0,8.0,16.0,2.0,2666.0,HDD,1000.0,1.58,1.0,No,45.0,3.0,Li-Ion,10.0,nan,1920,1080,Intel,4.0,Intel Graphics,329.0,240.0,20.0,Yes,1.0,Yes,4.1,nan,,yes,Dell
3.8,104.0,Windows,15.6, LED , No ,1.2,4.0,4.0,,1.0,2666.0,HDD,1000.0,1.77,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,358.0,242.0,19.9,nan,,Yes,4.2,Yes,1.0,,HP
,,Windows,16.1, LED , No ,,16.0,4.0,32.0,2.0,3200.0,nan,512.0,2.46,1.0,nan,150.0,4.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,370.0,235.0,26.0,Yes,1.0,Yes,5.0,Yes,1.0,,HP
4.4,39.0,Windows,15.6, LED , No ,2.3,6.0,8.0,16.0,2.0,2400.0,nan,512.0,1.83,1.0,No,42.0,3.0,Li-Ion,7.0,nan,1920,1080,AMD,4.0,AMD Graphics,364.0,249.0,20.0,Yes,1.0,Yes,4.1,Yes,,yes,Dell
4.3,125.0,Windows,15.6, LED , No ,,6.0,4.0,,1.0,,nan,256.0,1.7,1.0,No,45.0,2.0,Li-Ion,,nan,1920,1080,Intel,4.0,Intel Graphics,363.4,238.4,19.9,Yes,1.0,Yes,5.0,Yes,1.0,,Acer
4.5,381.0,Windows,15.6, LED , No ,3.0,3.0,4.0,8.0,1.0,,nan,512.0,1.98,1.0,No,,3.0,Li-Ion,,nan,1920,1080,AMD,6.0,NVIDIA,360.0,257.0,23.5,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
,,Windows,15.6, LED , No ,,6.0,4.0,,1.0,,nan,256.0,1.7,1.0,nan,45.0,2.0,Li-Ion,9.0,nan,1920,1080,Intel,4.0,Intel Graphics,363.4,238.4,19.9,Yes,1.0,Yes,5.0,nan,,,Acer
4.0,248.0,Windows,15.6, LED , No ,2.6,5.0,4.0,12.0,1.0,,HDD,1000.0,1.9,1.0,No,45.0,2.0,Li-Ion,9.0,nan,1920,1080,AMD,2.0,AMD Graphics,363.4,250.5,19.9,Yes,1.0,Yes,4.1,Yes,,,Acer
,1.0, DOS ,15.6, LED , No ,2.1,4.0,4.0,,1.0,2133.0,HDD,1000.0,1.85,1.0,No,35.0,2.0,Li-Ion,5.5,No,1366,768,Intel,4.0,Intel Graphics,362.0,251.0,21.0,Yes,1.0,Yes,,nan,,,Lenovo
3.9,1172.0,Windows,15.6, LED , No ,2.1,6.0,8.0,16.0,2.0,2400.0,nan,512.0,1.96,1.0,No,,3.0,Li-Ion,,No,1920,1080,AMD,4.0,AMD Graphics,364.0,249.0,20.0,Yes,1.0,Yes,5.0,Yes,,yes,Dell
,,Windows,14.0, LED , No ,3.0,16.0,4.0,16.0,1.0,3200.0,nan,512.0,1.7,1.0,No,180.0,4.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,324.0,222.0,19.9,Yes,2.0,Yes,5.1,Yes,1.0,yes,Asus
,3.0,Windows,17.3, LED , No ,2.6,2.6,16.0,32.0,1.0,3200.0,nan,1000.0,2.8,1.0,No,240.0,4.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,399.0,272.0,18.7,Yes,1.0,Yes,5.1,Yes,1.0,yes,Asus
,, DOS ,14.0, LED , No ,2.1,4.0,8.0,,1.0,,nan,512.0,2.1,1.0,No,,4.0,Li-Ion,,No,1920,1080,AMD,4.0,AMD Graphics,329.0,242.0,21.9,Yes,1.0,Yes,4.0,nan,,,Lenovo
4.2,1652.0,Windows,15.6, LED , No ,1.6,6.0,8.0,,1.0,2666.0,HDD,1000.0,1.74,1.0,No,65.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,358.4,242.0,19.9,nan,,Yes,4.2,Yes,1.0,,HP
4.2,250.0,Windows,15.6, LED , No ,2.6,12.0,4.0,32.0,1.0,2666.0,HDD,1000.0,2.3,1.0,No,52.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,365.0,260.0,25.9,nan,,Yes,4.2,Yes,1.0,yes,Lenovo
,,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,nan,512.0,2.3,1.0,nan,,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,359.0,259.0,25.0,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,15.6, LED , No ,2.4,2.0,4.0,,1.0,1600.0,HDD,500.0,2.1,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,2.0,Intel Graphics,381.0,256.0,24.5,Yes,1.0,Yes,4.2,No,,,HP
3.9,1304.0,Windows,15.6, LED , No ,2.3,5.0,4.0,12.0,1.0,2400.0,HDD,1000.0,1.85,1.0,No,65.0,2.0,Li-Ion,,No,1366,768,AMD,2.0,AMD Graphics,362.2,253.4,19.9,Yes,1.0,Yes,5.0,nan,,no,Lenovo
,,Windows,14.0, LED , No ,1.8,8.0,16.0,,1.0,,nan,1000.0,0.99,1.0,No,66.0,4.0,Li-Ion,,No,1920,1080,Intel,8.0,Intel Graphics,320.0,203.0,14.9,Yes,1.0,Yes,5.0,Yes,2.0,yes,Asus
4.4,2294.0,Windows,14.0, LED , No ,1.6,6.0,8.0,,1.0,2400.0,nan,512.0,1.5,1.0,No,45.0,2.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,322.0,212.0,19.9,Yes,1.0,Yes,4.2,nan,,,Asus
,,Windows,15.6, LED , No ,4.2,8.0,2.0,8.0,1.0,3200.0,HDD,1000.0,2.24,1.0,No,42.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,359.0,235.0,19.9,Yes,2.0,Yes,4.0,nan,,,Asus
4.3,554.0,Windows,15.6, LED , No ,2.4,8.0,4.0,8.0,1.0,,HDD,1000.0,2.3,1.0,nan,52.5,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,267.0,25.0,Yes,2.0,Yes,4.1,Yes,1.0,yes,Lenovo
4.0,2341.0,Windows,15.6, LED , No ,2.3,3.0,4.0,,1.0,2133.0,HDD,1000.0,2.2,1.0,nan,40.0,4.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,380.0,260.0,23.6,Yes,2.0,Yes,4.0,nan,,,Dell
,,Windows,14.0, LED , No ,2.0,3.0,4.0,,,,nan,128.0,1.56,1.0,Yes,,4.0,Li-Ion,10.0,No,1366,768,Intel,2.0,Intel Graphics,341.0,236.0,17.9,Yes,1.0,Yes,4.0,Yes,,,Acer
4.5,141.0,Windows,12.3, LED , Yes ,2.6,3.0,8.0,,1.0,1866.0,nan,256.0,0.78,1.0,No,,,Li-Ion,13.5,nan,2736,1824,Intel,4.0,Intel Graphics,292.1,201.42,8.38,Yes,1.0,Yes,4.2,No,,,Microsoft
4.2,62.0,Windows,14.0, LED , No ,2.6,5.0,8.0,,1.0,,nan,256.0,1.34,1.0,No,36.7,6.0,Li-Ion,8.0,No,1920,1080,AMD,2.0,AMD Graphics,332.0,221.0,17.0,Yes,2.0,Yes,4.2,nan,,,Avita
,, DOS ,14.0, LED , No ,1.0,6.0,8.0,,1.0,2666.0,HDD,1000.0,1.8,1.0,No,30.0,2.0,Li-Ion,5.0,No,1920,1080,Intel,6.0,Intel Graphics,,,,Yes,1.0,Yes,4.2,nan,,,Lenovo
,,Windows,14.0, LED , No ,1.6,6.0,8.0,,1.0,2666.0,HDD,500.0,1.77,1.0,No,45.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,325.0,232.0,21.0,Yes,1.0,Yes,5.0,Yes,1.0,,Lenovo
,,Windows,14.0, LED , No ,2.3,4.0,4.0,,1.0,,nan,256.0,1.9,1.0,nan,,,Li-Po,,No,1920,1080,AMD,2.0,AMD Graphics,325.0,216.0,19.0,Yes,2.0,No,,Yes,1.0,,Asus
,,Windows,14.0, LED , Yes ,,6.0,8.0,,1.0,3200.0,nan,256.0,1.5,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,321.5,217.5,20.4,Yes,1.0,Yes,5.0,Yes,1.0,yes,Lenovo
4.5,193.0,Windows,13.5, LED , Yes ,1.3,8.0,16.0,,1.0,,nan,256.0,1.29,1.0,No,,6.0,Li-Ion,11.5,No,2256,1504,Intel,8.0,Intel Graphics,308.0,223.0,14.5,nan,,Yes,5.0,Yes,1.0,,Microsoft
4.4,6275.0,Windows,14.0, LED , No ,2.1,4.0,4.0,,1.0,,nan,256.0,1.5,1.0,No,45.0,2.0,Li-Po,,Yes,1920,1080,Intel,4.0,Intel Graphics,322.0,212.0,19.9,Yes,1.0,Yes,4.1,Yes,1.0,yes,Asus
4.0,367.0,Windows,15.6, LED , No ,2.7,4.0,8.0,16.0,2.0,2400.0,HDD,1000.0,2.2,1.0,Yes,40.0,4.0,Li-Ion,,No,1366,768,Intel,4.0,AMD Graphics,380.0,260.0,25.1,Yes,1.0,Yes,4.0,Yes,,,Dell
,,Windows,15.6, LED , No ,2.2,4.0,4.0,,1.0,2133.0,HDD,1000.0,2.0,1.0,No,42.0,3.0,Li-Ion,,Yes,1920,1080,Intel,4.0,Intel Graphics,,,,Yes,2.0,Yes,4.2,Yes,1.0,,Asus
4.2,6.0,Windows,17.3, LED , No ,2.1,2.0,4.0,8.0,1.0,2400.0,HDD,1000.0,2.6,1.0,No,64.0,4.0,Li-Po,,No,1920,1080,AMD,4.0,AMD Graphics,399.8,279.4,27.6,Yes,1.0,Yes,4.2,No,,,Asus
4.2,207.0,Windows,15.6, LED , No ,3.0,6.0,4.0,,1.0,,nan,256.0,1.7,1.0,nan,45.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,365.0,240.0,18.9,Yes,1.0,Yes,5.1,Yes,1.0,yes,Lenovo
,,Windows,15.6, LED , No ,2.3,4.0,4.0,32.0,2.0,2400.0,HDD,1000.0,2.2,1.0,No,48.0,4.0,Li-Ion,,No,1920,1080,AMD,4.0,NVIDIA,360.4,262.0,26.8,Yes,1.0,Yes,4.2,Yes,1.0,yes,Asus
5.0,1.0,Windows,14.0, LED , No ,1.6,6.0,8.0,12.0,1.0,2133.0,HDD,1000.0,1.4,1.0,No,45.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,323.0,226.0,18.0,Yes,2.0,Yes,4.2,Yes,1.0,yes,Asus
4.0,13.0,Windows,15.6, LED , No ,2.6,12.0,4.0,8.0,1.0,2933.0,nan,1000.0,2.36,1.0,No,150.0,3.0,Li-Ion,,nan,1920,1080,Intel,8.0,NVIDIA,357.9,239.7,22.5,Yes,2.0,Yes,5.0,Yes,1.0,yes,HP
3.8,75.0,Windows,15.6, LED , No ,1.2,4.0,8.0,,2.0,2666.0,HDD,1000.0,2.2,1.0,No,,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,340.0,258.0,22.0,Yes,1.0,Yes,5.0,Yes,,yes,Dell
,,Windows,15.6, LED , No ,,8.0,2.0,8.0,1.0,,HDD,1000.0,1.66,1.0,nan,57.0,,Li-Po,,No,1920,1080,Intel,6.0,NVIDIA,356.0,233.0,19.0,Yes,2.0,Yes,5.1,Yes,1.0,,Lenovo
,,Windows,13.3, LED , No ,1.8,8.0,8.0,32.0,1.0,2400.0,nan,512.0,1.22,,No,48.0,,Li-Po,17.6,nan,1920,1080,Intel,6.0,Intel Graphics,311.9,217.0,16.5,nan,,Yes,4.2,Yes,1.0,,Lenovo
,,Windows,13.3, LED , Yes ,2.0,8.0,16.0,,1.0,,nan,1000.0,1.32,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,AMD,8.0,AMD Graphics,306.0,194.0,16.4,Yes,2.0,Yes,5.0,Yes,1.0,yes,HP
3.8,4.0,Windows,14.5, LED , No ,2.4,6.0,2.0,8.0,1.0,,nan,512.0,1.24,1.0,nan,,4.0,Li-Ion,,No,2560,1600,Intel,6.0,NVIDIA,321.5,224.2,14.2,nan,,Yes,5.1,Yes,2.0,,Dell
,,Windows,15.0, LED , No ,1.2,4.0,2.0,8.0,1.0,2666.0,nan,512.0,2.2,1.0,No,65.0,3.0,Li-Ion,6.0,No,1920,1080,Intel,6.0,NVIDIA,340.0,258.0,22.0,Yes,1.0,Yes,4.1,nan,,yes,Dell
4.4,1433.0,Windows,15.6, LED , No ,2.3,8.0,4.0,8.0,1.0,2666.0,HDD,1000.0,2.53,1.0,No,56.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,380.0,258.0,22.7,Yes,1.0,Yes,5.0,Yes,,yes,Dell
,,Windows,13.4, LED , No ,3.0,20.0,16.0,32.0,1.0,4266.0,nan,1000.0,1.3,1.0,No,100.0,4.0,Li-Ion,,No,3840,2400,AMD,8.0,NVIDIA,299.0,222.0,15.8,Yes,1.0,Yes,5.1,nan,,yes,Asus
,, DOS ,14.0, LED , No ,2.7,4.0,8.0,,2.0,3200.0,HDD,1000.0,1.6,1.0,No,65.0,3.0,Li-Ion,,No,1366,768,AMD,4.0,AMD Graphics,324.2,237.7,17.9,nan,,Yes,5.0,Yes,1.0,,HP
4.3,41.0,Windows,14.0, LED , No ,4.2,8.0,8.0,,1.0,3200.0,nan,512.0,1.5,1.0,No,42.0,3.0,Li-Ion,,nan,1920,1080,Intel,6.0,Intel Graphics,324.0,220.0,18.7,Yes,1.0,Yes,5.0,Yes,1.0,,Asus
4.0,66.0,Windows,14.0, LED , No ,4.0,6.0,4.0,,1.0,3200.0,nan,256.0,1.72,1.0,No,,3.0,Li-Ion,6.0,No,1920,1080,Intel,4.0,Intel Graphics,324.0,222.0,19.0,nan,,Yes,5.0,Yes,1.0,yes,Dell
4.2,561.0,Windows,15.6, LED , No ,2.5,3.0,4.0,8.0,1.0,2133.0,HDD,1000.0,2.2,1.0,Yes,,2.0,Li-Ion,5.0,No,1920,1080,Intel,4.0,NVIDIA,379.0,260.0,22.9,Yes,1.0,Yes,4.1,nan,,,Lenovo
4.0,25.0,Windows,15.6, LED , No ,2.6,12.0,6.0,32.0,1.0,2666.0,HDD,1000.0,2.57,1.0,No,230.0,4.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,360.0,275.0,24.9,nan,,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,15.6, LED , Yes ,2.6,12.0,6.0,32.0,1.0,,nan,1000.0,2.5,1.0,No,230.0,8.0,Li-Ion,,No,3840,2160,Intel,8.0,NVIDIA,356.0,224.0,24.0,nan,,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,15.6, LED , No ,3.1,8.0,4.0,32.0,2.0,3200.0,nan,512.0,2.2,1.0,No,45.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,363.0,255.0,23.9,Yes,3.0,Yes,5.1,Yes,1.0,yes,Acer
,,Windows,14.0, LED , No ,1.8,8.0,2.0,16.0,1.0,2133.0,nan,1000.0,1.26,1.0,No,50.0,3.0,Li-Po,,nan,1920,1080,Intel,8.0,NVIDIA,319.0,199.0,16.9,Yes,1.0,Yes,5.0,Yes,1.0,,Asus
,,MAC,13.3, LED , No ,1.1,6.0,8.0,,1.0,3733.0,nan,256.0,1.29,1.0,No,30.0,,Li-Po,11.0,Yes,2560,1600,Intel,6.0,Intel Graphics,304.1,212.4,16.1,nan,,Yes,5.0,Yes,2.0,yes,Apple
,1.0, DOS ,14.0, LED , No ,1.6,6.0,4.0,,1.0,2133.0,HDD,1000.0,1.7,1.0,No,30.0,2.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,,,,Yes,2.0,Yes,4.0,Yes,1.0,,Lenovo
3.3,58.0,Windows,15.6, LED , No ,2.5,3.0,8.0,16.0,1.0,2133.0,HDD,1000.0,2.0,1.0,No,65.0,4.0,Li-Ion,7.0,nan,1920,1080,Intel,4.0,NVIDIA,381.6,263.0,21.0,Yes,2.0,Yes,4.1,Yes,1.0,,Acer
,,Windows,15.6, LED , No ,,8.0,16.0,,2.0,3200.0,nan,512.0,1.75,1.0,nan,65.0,3.0,Li-Ion,,Yes,1920,1080,AMD,6.0,AMD Graphics,360.2,234.0,17.9,Yes,1.0,Yes,5.0,Yes,1.0,,HP
,3.0,Windows,12.5, LED , No ,1.6,6.0,8.0,,1.0,2133.0,nan,512.0,1.6,3.0,No,48.0,6.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,,,,Yes,1.0,Yes,4.0,No,,,Lenovo
,,Windows,15.6, LED , No ,2.5,8.0,4.0,16.0,1.0,,nan,512.0,2.3,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,359.0,256.0,24.7,Yes,1.0,Yes,5.2,Yes,1.0,yes,Asus
4.3,460.0,Windows,15.6, LED , No ,3.0,3.0,4.0,4.0,1.0,,nan,512.0,1.98,1.0,No,52.5,3.0,Li-Ion,,No,1920,1080,AMD,6.0,NVIDIA,360.0,257.0,23.5,Yes,1.0,Yes,5.0,nan,,yes,HP
4.0,9.0,Windows,15.6, LED , No ,2.5,3.0,4.0,,1.0,2133.0,HDD,1000.0,1.86,1.0,nan,41.0,4.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,380.0,253.8,23.8,Yes,1.0,Yes,4.0,No,,,HP
,,Windows,15.6, LED , No ,1.6,6.0,2.0,8.0,2.0,2666.0,HDD,1000.0,1.7,1.0,nan,35.0,2.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,,,,Yes,1.0,Yes,5.0,nan,,,Lenovo
4.8,24.0,Windows,14.0, LED , No ,1.8,8.0,8.0,,1.0,,nan,512.0,1.5,1.0,No,65.0,3.0,Li-Ion,,nan,1920,1080,AMD,8.0,AMD Graphics,324.0,220.0,18.2,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
4.1,260.0,Windows,15.6, LED , No ,2.5,3.0,2.0,8.0,1.0,2133.0,HDD,1000.0,2.2,1.0,Yes,,,nan,5.0,No,1366,768,Intel,4.0,NVIDIA,379.0,260.0,22.9,Yes,1.0,Yes,4.1,No,,,Lenovo
3.9,90.0,Windows,15.6, LED , No ,4.2,8.0,8.0,,1.0,,nan,512.0,1.65,1.0,No,45.0,3.0,Li-Ion,9.5,nan,1920,1080,Intel,6.0,Intel Graphics,363.4,238.5,17.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,Acer
4.5,1947.0,Windows,15.6, LED , No ,2.1,6.0,3.0,8.0,1.0,2400.0,HDD,1000.0,1.98,1.0,No,135.0,3.0,Li-Ion,,No,1920,1080,AMD,4.0,NVIDIA,360.0,257.0,23.5,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
,,Windows,15.6, LED , No ,2.3,8.0,8.0,,1.0,2666.0,nan,256.0,1.7,1.0,nan,65.0,3.0,Li-Ion,,No,1920,1080,AMD,6.0,AMD Graphics,358.5,242.0,17.9,Yes,1.0,Yes,4.2,Yes,1.0,,HP
3.6,13.0,Windows,15.6, LED , No ,1.2,4.0,8.0,,2.0,2400.0,HDD,1000.0,2.2,1.0,nan,,3.0,Li-Ion,6.0,No,1920,1080,Intel,4.0,Intel Graphics,340.0,258.0,22.0,Yes,1.0,Yes,4.1,nan,,,Dell
4.6,8.0,Windows,15.6, LED , No ,2.4,8.0,8.0,,1.0,,nan,512.0,1.7,1.0,No,45.0,3.0,Li-Ion,10.8,No,1920,1080,Intel,6.0,Intel Graphics,365.0,240.0,18.9,Yes,3.0,Yes,5.1,Yes,1.0,,Lenovo
4.3,235.0, DOS ,15.6, LED , No ,1.6,6.0,2.0,8.0,1.0,2400.0,HDD,1000.0,1.77,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,376.0,246.0,22.5,Yes,1.0,Yes,4.2,nan,,,HP
,,Windows,15.0, LED , No ,1.6,6.0,2.0,8.0,1.0,2400.0,HDD,1000.0,1.7,1.0,No,42.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,361.4,243.0,18.0,Yes,2.0,Yes,4.2,Yes,1.0,yes,Asus
,,Windows,14.0, LED , No ,,6.0,4.0,16.0,1.0,2666.0,HDD,1000.0,1.58,1.0,No,,3.0,Li-Ion,10.0,No,1920,1080,Intel,4.0,Intel Graphics,329.0,240.0,20.0,nan,,Yes,4.1,Yes,1.0,yes,Dell
4.5,2.0,Windows,15.6, LED , No ,2.0,8.0,8.0,,1.0,2666.0,nan,512.0,1.7,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,AMD,8.0,AMD Graphics,358.5,242.0,17.9,Yes,1.0,Yes,4.2,Yes,1.0,,HP
3.5,22.0,Windows,15.6, LED , No ,4.0,6.0,4.0,16.0,1.0,,HDD,1000.0,1.9,1.0,nan,,2.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,363.4,238.4,19.9,Yes,1.0,Yes,5.0,nan,,,Acer
,,Windows,15.6, LED , No ,2.3,3.0,4.0,,1.0,2133.0,HDD,1000.0,2.66,1.0,nan,,2.0,Li-Po,,No,1920,1080,Intel,2.0,Intel Graphics,,,,Yes,2.0,Yes,4.2,No,,,Lenovo
4.2,79.0, DOS ,15.6, LED , No ,3.0,6.0,4.0,,1.0,,nan,256.0,1.7,1.0,No,,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,365.0,240.0,18.9,Yes,1.0,Yes,5.1,nan,,,Lenovo
,,Windows,13.3, LED , No ,1.6,6.0,16.0,,1.0,2666.0,SSD,512.0,1.43,1.0,No,46.0,4.0,Li-Po,,No,1920,1080,Intel,6.0,Intel Graphics,311.0,219.0,18.0,nan,,Yes,5.0,Yes,2.0,,Lenovo
,,Windows,15.6, LED , No ,2.1,4.0,8.0,,2.0,2400.0,SSD,512.0,1.8,1.0,No,35.0,2.0,Li-Ion,9.6,No,1920,1080,AMD,4.0,AMD Graphics,,,,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
,,Windows,14.0, LED , No ,1.6,6.0,2.0,8.0,1.0,2133.0,nan,512.0,1.5,1.0,No,65.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,323.0,223.0,19.9,Yes,1.0,Yes,5.0,Yes,1.0,,Asus
4.0,9.0,Windows,15.6, LED , No ,,16.0,6.0,16.0,1.0,,HDD,1000.0,2.3,1.0,nan,230.0,4.0,Li-Ion,7.0,nan,1920,1080,Intel,8.0,NVIDIA,363.4,255.0,22.9,Yes,2.0,Yes,5.1,Yes,1.0,yes,Acer
,,Windows,15.6, LED , No ,2.6,12.0,4.0,8.0,1.0,,HDD,1000.0,2.3,1.0,No,,4.0,Li-Ion,8.0,No,1920,1080,Intel,8.0,NVIDIA,363.0,259.0,23.0,Yes,3.0,Yes,5.0,Yes,1.0,yes,Lenovo
3.7,36.0,Windows,14.0, LED , Yes ,2.1,4.0,4.0,32.0,1.0,2666.0,HDD,1000.0,1.67,1.0,No,,3.0,Li-Ion,6.0,nan,1920,1080,Intel,4.0,Intel Graphics,328.0,232.8,19.9,Yes,1.0,Yes,4.1,Yes,,yes,Dell
4.5,270.0,Windows,15.6, LED , No ,3.0,11.0,4.0,8.0,1.0,3200.0,nan,512.0,2.37,1.0,No,200.0,6.0,Li-Ion,,No,1920,1080,AMD,6.0,NVIDIA,357.0,239.0,22.5,nan,,Yes,5.0,Yes,1.0,yes,HP
,,Windows,13.3, LED , Yes ,1.8,8.0,16.0,,1.0,2133.0,nan,512.0,1.04,1.0,No,50.0,4.0,Li-Po,,Yes,3840,2160,Intel,6.0,Intel Graphics,309.88,213.36,12.7,nan,,Yes,5.0,Yes,2.0,,Asus
,,Windows,15.6, LED , No ,2.1,4.0,8.0,,1.0,,HDD,1000.0,1.9,1.0,No,45.0,2.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,360.0,235.0,22.9,Yes,2.0,Yes,4.2,Yes,1.0,,Asus
,,Windows,14.0, LED , No ,2.4,8.0,16.0,,1.0,,nan,512.0,1.36,1.0,No,65.0,4.0,Li-Ion,14.0,nan,1920,1080,Intel,6.0,Intel Graphics,320.6,208.18,14.9,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
4.4,184.0,Windows,15.6, LED , No ,2.6,5.0,4.0,,1.0,2400.0,nan,256.0,1.69,1.0,No,,3.0,Li-Ion,,No,1366,768,AMD,2.0,AMD Graphics,358.0,242.0,17.9,nan,,Yes,4.2,Yes,1.0,,HP
,,Windows,15.6, LED , No ,2.9,8.0,4.0,8.0,1.0,,nan,512.0,2.1,1.0,No,150.0,4.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,354.0,259.0,20.6,Yes,3.0,Yes,5.1,Yes,1.0,yes,Asus
4.1,206.0,Windows,15.6, LED , No ,2.4,8.0,4.0,8.0,1.0,2666.0,HDD,1000.0,2.23,1.0,No,52.5,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,256.0,23.4,Yes,2.0,Yes,5.0,Yes,1.0,yes,HP
