Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
3.8,239.0,Windows,14.0, LED , No ,1.7,6.0,8.0,,2.0,2666.0,HDD,1000.0,1.58,1.0,No,,3.0,Li-Po,10.0,No,1920,1080,Intel,4.0,Intel Graphics,329.0,240.0,20.0,Yes,1.0,Yes,4.1,nan,,,Dell
,, Google Chrome ,11.6, LED , Yes ,1.6,2.0,4.0,,1.0,1600.0,nan,32.0,1.27,1.0,No,45.0,3.0,Li-Ion,,No,1366,768,Intel,4.0,Intel Graphics,293.87,203.96,19.3,Yes,1.0,Yes,4.1,No,,,Acer
4.0,421.0, DOS ,15.6, LED , No ,2.1,2.0,4.0,8.0,2.0,1600.0,HDD,500.0,2.1,1.0,nan,,4.0,Li-Ion,,No,1366,768,nan,,Intel Graphics,384.0,265.0,25.0,Yes,2.0,Yes,4.0,nan,,,Lenovo
3.6,50.0, DOS ,15.6, LED , No ,2.1,4.0,8.0,,1.0,2400.0,HDD,1000.0,1.74,1.0,No,41.0,3.0,Li-Po,,No,1366,768,AMD,4.0,AMD Graphics,358.0,242.0,19.9,Yes,2.0,Yes,4.0,nan,,,HP
,,Windows,17.3, LED , No ,,,8.0,16.0,1.0,,nan,1000.0,2.9,1.0,No,280.0,4.0,Li-Po,,No,1920,1080,Intel,,NVIDIA,397.0,284.0,25.9,nan,,Yes,5.2,nan,,yes,MSI
4.5,916.0,Windows,14.0, LED , Yes ,1.6,6.0,8.0,,1.0,2666.0,nan,512.0,1.58,1.0,No,,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,322.0,223.0,19.7,nan,,Yes,5.0,Yes,1.0,yes,HP
,2.0,Windows,14.0, LED , No ,1.0,6.0,2.0,8.0,1.0,2666.0,SSD,512.0,1.69,1.0,No,52.5,3.0,Li-Po,,No,1920,1080,Intel,2.0,NVIDIA,323.6,228.0,17.9,nan,,Yes,5.0,Yes,1.0,,Lenovo
,,Windows,13.3, LED , Yes ,4.2,8.0,8.0,32.0,2.0,3733.0,nan,512.0,1.2,1.0,No,,4.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,296.0,198.0,15.0,Yes,2.0,Yes,5.0,nan,,yes,Dell
3.8,1859.0,Windows,15.6, LED , No ,1.2,4.0,4.0,,1.0,2666.0,HDD,1000.0,1.85,1.0,No,65.0,,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,362.2,251.5,19.9,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
4.4,1433.0,Windows,15.6, LED , No ,2.3,8.0,4.0,8.0,1.0,2666.0,HDD,1000.0,2.53,1.0,No,56.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,380.0,258.0,22.7,Yes,1.0,Yes,5.0,Yes,,yes,Dell
,,Windows,12.3, LED , Yes ,1.9,8.0,8.0,,1.0,1866.0,nan,256.0,0.77,1.0,No,,,Li-Ion,13.5,No,2736,1824,Intel,6.0,Intel Graphics,292.0,201.0,8.5,Yes,1.0,Yes,4.1,No,,,Microsoft
4.1,42.0,Windows,14.0, LED , No ,4.2,8.0,8.0,,1.0,,nan,512.0,1.05,1.0,No,65.0,4.0,Li-Ion,,nan,1920,1080,Intel,6.0,Intel Graphics,318.9,206.98,14.9,nan,,Yes,5.0,Yes,1.0,,Acer
4.2,146.0,Windows,14.0, LED , No ,,6.0,2.0,8.0,1.0,,nan,512.0,1.5,1.0,No,70.0,4.0,Li-Po,,No,1920,1080,Intel,6.0,NVIDIA,323.0,223.0,19.9,nan,,Yes,5.0,Yes,1.0,yes,Asus
