Ratings,No_of_ratings,Screen_size(inches),Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_capacity(Gig),Weight(kg),Warranty,Adapter(watts),Battery_cells,Screen_pixel_density(width),Screen_pixel_density(height),Processor_cores,Length(mm),Width(mm),Height(mm),USB(2.0)_ports,Bluetooth_version,USB(typeC)_ports,Operating_system,Display_type,Touchscreen,Optical_Drive,Battery_type,Fingerprint,Processor_brand,Graphics_brand,USB(2.0),Bluetooth_,USB(typeC),Keyboard_backlit,Harddrive_type,Brand
4.38,570,14.0,1.8,8,8,17,1,3013,512,1.49,1.0,45,3,1920,1080,8,324.73,222.82,18.13,2,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
3.9199999999999995,96,15.6,2.86,8,8,12,2,3200,512,1.65,1.0,45,3,1920,1080,6,359.0,237.0,19.9,1,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.4,286,14.0,2.7,4,8,13,1,2666,512,1.47,1.0,65,3,1920,1080,4,324.0,225.0,17.9,2,4.2,1,Windows, LED , No ,No,Li-Ion,No,AMD,AMD Graphics,Yes,Yes,Yes,no,SSD,HP
4.2,10,15.6,1.6,6,8,32,2,2133,1000,1.8,1.0,65,4,1920,1080,6,363.4,247.5,17.9,2,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,HDD,Acer
4.5,4,15.6,2.5,8,4,8,1,2933,512,2.3,1.0,60,4,1920,1080,6,363.06,259.61,26.1,2,5.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,SSD,Lenovo
4.11,290,15.6,1.2,4,4,14,1,2320,256,1.85,1.0,42,3,1366,768,4,362.2,252.0,20.0,1,4.2,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.3,25,15.6,2.4,8,6,8,1,2666,1000,2.3,1.0,65,3,1920,1080,6,365.0,260.0,25.9,2,4.2,1,Windows, LED , No ,No,Li-Po,No,Intel,NVIDIA,Yes,Yes,Yes,no,HDD,Lenovo
4.5,18,15.6,2.4,8,16,17,1,2960,512,1.7,1.0,45,3,1920,1080,6,365.0,240.0,19.0,1,5.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.0,155,13.0,1.6,6,8,22,2,2400,512,1.65,1.0,65,4,1920,1080,6,328.0,229.0,17.9,2,5.0,1,Windows, LED , Yes ,No,Li-Po,Yes,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
5.0,1,14.0,1.6,6,2,8,2,2666,512,1.5,1.0,68,3,1920,1080,6,328.6,235.9,18.0,1,4.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,NVIDIA,Yes,Yes,Yes,yes,SSD,Acer
4.06,419,13.3,2.7,4,8,18,1,2133,1000,2.1,1.0,48,4,1366,768,4,315.12,224.975,20.7,2,4.2,2,Windows, LED , No ,Yes,Li-Ion,Yes,Intel,Intel Graphics,Yes,Yes,No,no,HDD,HP
